"t_id","t_date","t_text"
"1118990550235877376","4/18/2019 21:31","b'\xe2\x80\x9cDonald Trump was being framed, he fought back. That is not Obstruction.\xe2\x80\x9d @JesseBWatters  I had the right to end th\xe2\x80\xa6 https://t.co/tMlkJ5Fa9u'"
"1118976983797567488","4/18/2019 20:37","b'Today, I was thrilled to host the @WWP Soldier Ride once again at the @WhiteHouse. We were all deeply honored to be\xe2\x80\xa6 https://t.co/I0GYOq1Re5'"
"1118921900858793985","4/18/2019 16:59","b'As I have been saying all along, NO COLLUSION - NO OBSTRUCTION! https://t.co/BnMB5mvHAM'"
"1118876219381026818","4/18/2019 13:57","b'https://t.co/222atp7wuB'"
"1118860425599307777","4/18/2019 12:54","b'No Collusion - No Obstruction! https://t.co/diggF8V3hl'"
"1118854454802096131","4/18/2019 12:31","b'Attorney General William Barr\xe2\x80\x99s Press Conference today at 9:30 AM ET. Watch on @FoxNews @OANN'"
"1118850873072005120","4/18/2019 12:16","b'RT @DanScavino: Nadler (2019) vs. Nadler (1998) https://t.co/IVg7RW3f0F'"
"1118850495207153665","4/18/2019 12:15","b'RT @JudicialWatch: On ""Hannity"", @seanhannity discussed some key findings from Judicial Watch in regards to the Clinton cover-up: ""We are f\xe2\x80\xa6'"
"1118850414315823104","4/18/2019 12:15","b'RT @JudicialWatch: Judicial Watch announced it received 756 pages of newly uncovered emails that were among the materials former Secretary\xe2\x80\xa6'"
"1118850092935667712","4/18/2019 12:13","b'RT @JudicialWatch: JW announced that it uncovered 422 pages of FBI documents showing evidence of \xe2\x80\x9ccover up\xe2\x80\x9d discussions related to the Clin\xe2\x80\xa6'"
"1118849869228204033","4/18/2019 12:12","b'RT @JudicialWatch: JW President @TomFitton appeared on \xe2\x80\x9cFox and Friends First\xe2\x80\x9d to discuss AG Bill Barr\xe2\x80\x99s testimony and Spygate: They know i\xe2\x80\xa6'"
"1118849614952710146","4/18/2019 12:11","b'RT @JudicialWatch: JW President @TomFitton discusses Clinton\xe2\x80\x99s memo: ""She signed a memo saying \xe2\x80\x98due to recent targeting of personal email a\xe2\x80\xa6'"
"1118849526977183744","4/18/2019 12:11","b'RT @JudicialWatch: BREAKING: JW announced today that it filed a FOIA lawsuit against the DOJ for records of communications and payments bet\xe2\x80\xa6'"
"1118848431932493824","4/18/2019 12:07","b'PRESIDENTIAL HARASSMENT!'"
"1118845290721812480","4/18/2019 11:54","b'The Greatest Political Hoax of all time! Crimes were committed by Crooked, Dirty Cops and DNC/The Democrats.'"
"1118682321236918273","4/18/2019 1:07","b'Nolte: Poll Shows Media Failed to Gaslight Public About Trump Campaign Spying https://t.co/06OZcBE08b via @BreitbartNews'"
"1118641907305984005","4/17/2019 22:26","b'RT @Team_Mitch: Today, we\xe2\x80\x99re officially launching our re-election campaign. Check out our first video below and visit our new website here:\xe2\x80\xa6'"
"1118588074060021761","4/17/2019 18:52","b'RT @WhiteHouse: LIVE NOW: President Trump at the White House Opportunity Zones Conference https://t.co/whaCFJdEiK'"
"1118548389652774914","4/17/2019 16:14","b'....in my conversation yesterday with President @EmmanuelMacron of France. I also wished both Pope Francis and Pres\xe2\x80\xa6 https://t.co/MM51VwUYu8'"
"1118548388352598016","4/17/2019 16:14","b'Just had a wonderful conversation with @Pontifex Francis offering condolences from the People of the United States\xe2\x80\xa6 https://t.co/j8wYTHscXn'"
"1118480533854543881","4/17/2019 11:45","b'Democrats in Congress must return from their Vacations and change the Immigration Laws, or the Border, despite the\xe2\x80\xa6 https://t.co/CGIB957pgG'"
"1118477897356992512","4/17/2019 11:34","b'Wow! FBI made 11 payments to Fake Dossier\xe2\x80\x99s discredited author, Trump hater Christopher Steele. @OANN\xe2\x80\xa6 https://t.co/J5usyBMMnq'"
"1118370255091507201","4/17/2019 4:27","b'On Trumps ICC Win, Dems and Republicans See Eye to Eye | RealClearPolitics https://t.co/6S6mP6yH3A'"
